%time sig_1 sig_2 sig_3
0.000511 -0.354766165132 0.00427635658115 0
0.000512 0.414547455615 0.00443679188096 1
0.000513 0.686346698763 0.00785673162559 0
0.000514 0.216046855771 0.0106335955113 1
0.000515 0.399518640137 0.01249479158 0
0.000516 0.17134647367 0.0142043394339 1
0.000517 0.379666028956 0.0158410060276 0
0.000518 0.139712751918 0.0173683523139 1
0.000519 -0.0512050584883 0.0175367498209 1
0.00052 -0.674600526412 0.015153863736 1
0.000521 0.0578545891098 0.0131274508601 0
0.000522 -0.16630591796 0.0127055840893 1
0.000523 -0.230805739858 0.0113823465565 0
0.000524 -0.149489980688 0.0101200605105 1
0.000525 0.657504602826 0.0116476502352 0
0.000526 -0.632428359612 0.0116532277097 1
0.000527 0.397989796775 0.0108460337285 1
0.000528 0.557729367357 0.0137711767857 1
0.000529 0.519731294372 0.0170592626033 0
0.00053 -0.650736503488 0.0165421356947 1
0.000531 0.226350644289 0.0151094518024 0
0.000532 0.269586907101 0.0165679680211 1
0.000533 -0.243705525036 0.0165452485429 0
0.000534 0.0781907864659 0.01592326581 1
0.000535 0.183378487995 0.0166427009192 0
0.000536 0.495379389557 0.0186641619001 1
0.000537 -0.769716785922 0.0176881015473 1
0.000538 0.244662068221 0.0159329697927 1
0.000539 0.236591175669 0.0173403402618 0
0.00054 0.19432077012 0.0185812390952 1
0.000541 0.0868780071407 0.0193455007408 0
0.000542 -0.151487291946 0.0190219896603 1
0.000543 0.494133272672 0.0199759281839 0
0.000544 -0.236362829477 0.0206580824054 1
0.000545 -0.624323191953 0.0178332334882 0
0.000546 0.20331235801 0.0164030325434 1
0.000547 -0.169327734623 0.016406723498 0
0.000548 -0.583623766628 0.013945901011 1
0.000549 -0.101053702942 0.0117143093741 0
0.00055 0.0276571949076 0.0114110769 1
0.000551 0.178002344572 0.0119836786063 0
0.000552 0.493032224804 0.0140101339094 1
0.000553 0.304148217157 0.0164189543293 1
0.000554 -0.85451702057 0.0145924944003 1
0.000555 -0.0323056590284 0.0117237837589 0
0.000556 -0.157369110638 0.0110563370358 1
0.000557 0.522855006448 0.0121316974822 0
0.000558 0.115876654754 0.0140560609072 1
0.000559 0.0446348461086 0.0144707031866 0
0.00056 0.712991759731 0.0167527659445 1
0.000561 -0.649369974913 0.0168470826388 1
0.000562 -0.147615013109 0.0142455999123 1
0.000563 0.106728409645 0.0140283257022 0
0.000564 0.661175153181 0.0163453441957 1
0.000565 0.703722072834 0.0205174872932 0
0.000566 0.00430195827091 0.0226063329112 0
0.000567 -0.218935639007 0.0217925580868 0
0.000568 0.147384112633 0.0214319784507 1
0.000569 0.239269245259 0.0225086422681 1
0.00057 0.0705263918633 0.0233378629219 0
0.000571 1.07850061324 0.0267901559042 1
0.000572 -0.142553011103 0.0295535131585 0
0.000573 0.307884014789 0.0298861805201 1
0.000574 0.363355473277 0.0318011451155 0
0.000575 -0.0243660333098 0.0326635899118 1
0.000576 0.358428541992 0.0335052028417 0
0.000577 -0.696711693968 0.0322359231382 1
0.000578 -0.275840800717 0.0289882180535 1
0.000579 -0.460566344707 0.0265004041276 1
0.00058 -0.0257849223595 0.0248112861307 0
0.000581 0.583191854087 0.0264015418085 1
0.000582 0.209781669179 0.0287195735127 0
0.000583 0.0447887015697 0.0293369400029 0
0.000584 0.270875012442 0.0301417689328 0
0.000585 -0.0472400260587 0.0306533454783 1
0.000586 -0.298532450204 0.029378473685 1
0.000587 0.25948671752 0.0290721797546 1
0.000588 0.0219036959609 0.0297713314678 0
0.000589 0.31676130051 0.0306454739408 0
0.00059 -0.211901914764 0.0307819195685 1
0.000591 -0.189064916468 0.0293333873107 0
0.000592 0.339569385568 0.0296210003739 1
0.000593 0.154931034556 0.0309841226517 0
0.000594 -0.0520441941774 0.0311122696238 1
0.000595 0.348974526318 0.0318473104198 0
0.000596 -0.479694816801 0.0312384507517 1
0.000597 0.539877722536 0.0312312665213 0
0.000598 0.000593485624531 0.0327282720818 1
0.000599 0.211671251509 0.0331880392212 0
0.0006 -0.538122567534 0.0319578004736 1
0.000601 0.330263916511 0.0311066703842 0
0.000602 -0.44005094769 0.0305680075386 1
0.000603 -0.311056245937 0.0280242616546 0
0.000604 0.19115961395 0.027473244718 1
0.000605 0.169292239797 0.028430012352 0
0.000606 -0.205570053262 0.0281383275586 1
0.000607 0.441333409 0.0287004357438 0
0.000608 0.0845713901222 0.0301676747736 1
0.000609 -0.176239457856 0.0296916374699 0
0.00061 0.148046653754 0.0294173707377 1
0.000611 0.0429237209108 0.02983118703 0
0.000612 0.562389187539 0.0315400302509 1
0.000613 -0.0179957696699 0.0330473852631 1
0.000614 -0.0449641489461 0.0326432177295 1
0.000615 0.133614225588 0.0327163869053 0
0.000616 -0.334403166709 0.0318826459957 1
0.000617 -0.367901151547 0.0294835044615 0
0.000618 -0.184029305381 0.0275703239046 0
0.000619 0.287636093888 0.0277221079326 0
0.00062 -0.634454614286 0.026462320016 1
0.000621 -0.0206969703329 0.0242447994966 0
0.000622 0.0516709347968 0.0241899448389 1
0.000623 -0.321945171739 0.0231919985165 1
0.000624 0.487055206664 0.0235638192556 1
0.000625 0.191806830338 0.0255422559587 0
0.000626 -0.127837456759 0.0255826081752 1
0.000627 0.231609301017 0.0257473591904 0
0.000628 -0.0765354008678 0.0260717437029 1
0.000629 0.423289335839 0.0269943911382 0
0.00063 -0.0135611204068 0.0281084795162 1
0.000631 -0.0759350995282 0.0276521416912 0
0.000632 0.108226259069 0.0275800702495 1
0.000633 -0.0518733385652 0.027583805743 0
0.000634 -0.132347534471 0.026834099909 1
0.000635 -0.488618927948 0.0247213101351 0
0.000636 0.0584236325294 0.023219202194 0
0.000637 0.695084817664 0.0254335716088 0
0.000638 0.0304845184055 0.027546572872 1
0.000639 0.155161126973 0.0279554311795 0
0.00064 -0.146125692618 0.0278086288723 1
0.000641 -0.0802677842873 0.0269254406378 0
0.000642 0.32364961466 0.0275190049378 1
0.000643 -0.157917209018 0.0278656725499 0
0.000644 -0.0640934811697 0.0269958528315 1
0.000645 0.116635736569 0.0269913135099 0
0.000646 -0.0945237302007 0.0268915025675 1
0.000647 0.161075285361 0.0269314905246 1
0.000648 -0.209250092169 0.0266119332786 1
0.000649 -0.0632664874559 0.0255917943469 0
0.00065 -0.0758252494044 0.0249958988429 1
0.000651 0.105259411029 0.0249315173848 0
0.000652 0.130834206993 0.025514745751 1
0.000653 -0.0939383046503 0.0254704828273 0
0.000654 0.148775452295 0.0254826847106 1
0.000655 0.731478508292 0.0280798125386 1
0.000656 -0.201625946044 0.0295633022697 1
0.000657 -0.0489094866976 0.0285935169587 0
0.000658 -0.156172038318 0.0277721563611 1
0.000659 -0.37456388952 0.025936070897 0
0.00066 -0.626795101907 0.0226376101264 1
0.000661 -0.490515338256 0.0189966778825 0
0.000662 0.113783138316 0.0176978594818 1
0.000663 0.548826248942 0.0196621383702 0
0.000664 -0.477852589908 0.0197612564485 1
0.000665 -0.0357366283407 0.018029046595 1
0.000666 0.0638617027441 0.0180042023321 1
0.000667 -0.13807121202 0.0176590269438 0
0.000668 -0.184314412016 0.0165387870345 1
0.000669 -0.27769674228 0.0149882909497 0
0.00067 -0.114366519097 0.013666566 1
0.000671 0.31951257976 0.0142234323432 1
0.000672 -0.247606727345 0.0143595352 1
0.000673 0.131457454022 0.0139058431911 0
0.000674 -0.027158081617 0.0141453838046 0
0.000675 0.089988943594 0.0142535548818 1
0.000676 0.17033308676 0.014979542177 0
0.000677 0.294139223944 0.0163403306936 1
0.000678 0.405777430691 0.0184299496566 0
0.000679 0.299247309186 0.0205224775409 1
0.00068 0.145265503363 0.0217860396006 0
0.000681 -0.205113143327 0.0214621544857 1
0.000682 0.0771070690376 0.0209268425813 0
0.000683 -0.417571352565 0.0197295167695 1
0.000684 -0.0727167866801 0.0180704789642 0
0.000685 -0.201260436735 0.0170992651222 1
0.000686 -0.125953227659 0.0159674110511 0
0.000687 0.0368909455716 0.0155884778911 0
0.000688 -0.278676654116 0.0147336259866 0
0.000689 -0.30763207401 0.0128051671235 1
0.00069 -0.00842163351655 0.0117351594082 0
0.000691 0.280579615579 0.012513987982 1
0.000692 -0.117004558697 0.0129478833511 0
0.000693 -0.225938751997 0.0117927701104 1
0.000694 -0.247577406168 0.0102359698988 0
0.000695 0.128603193567 0.00979925885904 1
0.000696 -0.281322893682 0.00925960059824 0
0.000697 -0.105240338496 0.00799098208406 0
0.000698 -0.746401066478 0.00527379916338 0
0.000699 0.771064995343 0.00531800803742 1
0.0007 0.0623892470487 0.0078948722747 0
0.000701 0.0718207693004 0.00826573542966 1
0.000702 0.593157653688 0.0102965117388 0
0.000703 0.33662143026 0.0131438587825 1
